nome_curso,plataforma,categoria,linguagem,duracao_horas,preco,avaliacao_media,num_alunos,certificado,instrutor_experiente,sucesso
DevOps com Spring,Udemy,DevOps,Spring,31,175.43,4.22,2049,Sim,Sim,Alto
MLOps com Hadoop,Alura,IA/ML,Hadoop,37,217.1,4.66,1593,Sim,Sim,Alto
MLOps com Kotlin,Alura,IA/ML,Kotlin,37,291.65,4.48,2229,Sim,Sim,Alto
Data Lakes com Angular,Coursera,Engenharia de Dados,Angular,27,246.07,4.65,2473,Sim,Sim,Alto
ETL com Pentest,Origamid,Dados,Pentest,15,133.69,4.59,746,Sim,Não,Médio
TDD com Flutter,DIO,QA/Testes,Flutter,20,111.23,4.25,299,Não,Sim,Médio
Back-end com Kubernetes,Alura,Desenvolvimento Web,Kubernetes,20,142.41,4.27,1829,Sim,Sim,Alto
Deep Learning com SIEM,DIO,IA/ML,SIEM,28,127.34,4.07,1906,Sim,Sim,Alto
Deep Learning com GCP,DataCamp,IA/ML,GCP,41,218.77,4.37,1455,Sim,Não,Médio
Observabilidade com Node.js,Alura,DevOps,Node.js,29,242.11,4.45,1391,Não,Sim,Médio
Consultas em Hadoop,DataCamp,Banco de Dados,Hadoop,21,185.52,4.98,1339,Sim,Sim,Alto
Observabilidade com Scikit-learn,DIO,DevOps,Scikit-learn,29,155.66,4.0,812,Sim,Sim,Médio
Back-end com Scikit-learn,DataCamp,Desenvolvimento Web,Scikit-learn,19,151.36,4.76,264,Não,Não,Médio
Certificação na IAM,Pluralsight,Cloud,IAM,25,270.65,4.22,1466,Sim,Sim,Médio
Arquiteturas na Docker,Coursera,Cloud,Docker,27,284.01,4.71,1729,Sim,Não,Alto
Pentest com Flask,DataCamp,Segurança,Flask,17,160.35,4.65,1349,Sim,Sim,Alto
Modelagem com SQL,Alura,Banco de Dados,SQL,21,198.04,4.35,1563,Sim,Sim,Alto
Testes de Carga com Scikit-learn,Alura,QA/Testes,Scikit-learn,16,200.84,4.66,620,Sim,Sim,Alto
Do Zero ao Pro em SQL,DIO,Programação,SQL,26,123.56,4.04,1006,Sim,Não,Médio
Scalability com AWS,Alura,Arquitetura de Software,AWS,32,219.1,4.51,1508,Sim,Sim,Alto
Blue Team com IAM,Origamid,Segurança,IAM,32,257.97,4.33,701,Sim,Sim,Alto
Data Viz com Flask,DIO,Dados,Flask,25,104.92,4.3,804,Sim,Sim,Alto
Do Zero em React,DataCamp,Mobile,React,12,141.2,4.66,1521,Sim,Sim,Alto
Dominando SQL,Alura,Programação,SQL,33,168.06,4.99,1615,Sim,Sim,Alto
Streaming com React Native,Coursera,Engenharia de Dados,React Native,36,243.14,4.81,2320,Sim,Sim,Alto
Web Moderno com Python,Alura,Desenvolvimento Web,Python,19,167.75,4.09,758,Sim,Sim,Alto
Contêineres com TensorFlow,DIO,DevOps,TensorFlow,22,149.72,3.99,979,Sim,Sim,Médio
Pentest com Spark,Alura,Segurança,Spark,35,225.28,4.54,1778,Não,Sim,Alto
Administração em Go,DataCamp,Banco de Dados,Go,19,134.46,4.44,1556,Sim,Não,Alto
Fundamentos de Spark,DataCamp,Programação,Spark,29,178.37,4.32,1162,Sim,Sim,Alto
QA Ágil com Scikit-learn,Coursera,QA/Testes,Scikit-learn,8,176.26,4.41,1057,Sim,Sim,Alto
Dominando Airflow,DIO,Programação,Airflow,22,126.37,4.26,1360,Sim,Não,Médio
Cross-platform com C#,Udemy,Mobile,C#,19,190.98,4.6,1902,Sim,Sim,Alto
Arquitetura Limpa com SQL,Udemy,Arquitetura de Software,SQL,32,191.17,4.17,1388,Sim,Sim,Alto
Dashboards com Vue,Udemy,Dados,Vue,15,138.89,4.37,2558,Sim,Sim,Alto
Análise de Dados com Python,Origamid,Dados,Python,20,141.07,4.19,720,Não,Sim,Médio
Streaming com TensorFlow,DIO,Engenharia de Dados,TensorFlow,32,152.03,4.22,239,Não,Sim,Médio
Pipelines de Dados com Java,Udemy,Engenharia de Dados,Java,39,163.37,4.57,2547,Sim,Não,Médio
Algoritmos com React Native,Origamid,Programação,React Native,34,170.63,4.54,864,Sim,Sim,Alto
TDD com Hadoop,Alura,QA/Testes,Hadoop,12,152.48,4.45,1560,Sim,Sim,Alto
Administração em Linux,Coursera,Banco de Dados,Linux,28,216.87,4.6,1601,Sim,Sim,Alto
Full-Stack com Rust,Coursera,Desenvolvimento Web,Rust,19,214.81,4.83,1552,Sim,Sim,Alto
Arquitetura Limpa com AWS,Origamid,Arquitetura de Software,AWS,32,201.17,4.63,421,Sim,Não,Médio
Contêineres com OWASP,Udemy,DevOps,OWASP,25,124.48,4.59,1723,Sim,Sim,Alto
Segurança com React,Pluralsight,Segurança,React,26,277.97,4.39,987,Sim,Não,Médio
Otimização em SQL,Coursera,Banco de Dados,SQL,10,273.52,4.62,1540,Não,Não,Médio
Full-Stack com Flask,Coursera,Desenvolvimento Web,Flask,23,229.06,4.47,1863,Sim,Sim,Alto
Pentest com Linux,DIO,Segurança,Linux,22,178.96,4.46,623,Não,Sim,Médio
TDD com IAM,Alura,QA/Testes,IAM,17,171.36,4.32,763,Sim,Sim,Alto
IA Aplicada com Swift,Coursera,IA/ML,Swift,35,222.27,4.5,2531,Sim,Sim,Alto
Testes de Carga com Power BI,Alura,QA/Testes,Power BI,14,146.31,4.4,915,Sim,Não,Médio
Data Viz com Go,DIO,Dados,Go,20,128.86,4.26,1158,Sim,Sim,Alto
Microservices com Kubernetes,Coursera,Arquitetura de Software,Kubernetes,26,247.71,4.43,1537,Sim,Não,Médio
Machine Learning com GCP,DataCamp,IA/ML,GCP,32,220.52,4.28,1513,Sim,Não,Médio
Testes Automatizados com SIEM,Coursera,QA/Testes,SIEM,14,193.34,4.47,1181,Sim,Sim,Alto
Infra como Código na Terraform,Udemy,Cloud,Terraform,32,185.81,4.57,2081,Sim,Não,Alto
Orquestração com JavaScript,Alura,Engenharia de Dados,JavaScript,40,272.46,4.47,1553,Sim,Sim,Alto
Pentest com Docker,Udemy,Segurança,Docker,27,178.13,4.29,2010,Sim,Não,Médio
Machine Learning com Node.js,Udemy,IA/ML,Node.js,46,215.39,4.28,2125,Sim,Sim,Alto
Deep Learning com React Native,Udemy,IA/ML,React Native,35,180.65,4.49,1858,Sim,Sim,Alto
QA Ágil com Scikit-learn,Udemy,QA/Testes,Scikit-learn,28,124.37,4.42,1648,Sim,Não,Alto
Streaming com IAM,Pluralsight,Engenharia de Dados,IAM,35,245.35,4.38,1396,Sim,Sim,Alto
Back-end com Pandas,DIO,Desenvolvimento Web,Pandas,21,89.44,4.26,1481,Sim,Sim,Alto
Serverless na OWASP,Alura,Cloud,OWASP,33,287.64,4.68,1322,Sim,Não,Médio
Blue Team com SQL,Coursera,Segurança,SQL,14,206.1,4.73,1336,Sim,Sim,Alto
Data Lakes com Kubernetes,DIO,Engenharia de Dados,Kubernetes,39,182.65,4.0,825,Sim,Sim,Médio
Data Lakes com Python,DataCamp,Engenharia de Dados,Python,31,218.34,4.7,1759,Sim,Sim,Alto
DDD com Flutter,Alura,Arquitetura de Software,Flutter,20,197.69,4.37,1711,Não,Sim,Alto
Segurança com AWS,Pluralsight,Segurança,AWS,24,220.46,4.68,882,Sim,Sim,Alto
Análise de Dados com Docker,Coursera,Dados,Docker,11,196.63,4.74,1588,Sim,Sim,Alto
Front-end com SIEM,Alura,Desenvolvimento Web,SIEM,18,175.9,4.47,1183,Sim,Sim,Alto
Segurança com IAM,Alura,Segurança,IAM,22,284.93,4.62,1201,Sim,Sim,Alto
Observabilidade com Rust,Udemy,DevOps,Rust,25,177.32,4.41,2485,Sim,Sim,Alto
Data Lakes com React,Coursera,Engenharia de Dados,React,39,310.82,4.68,2793,Não,Não,Médio
Orquestração com React,Udemy,Engenharia de Dados,React,31,232.21,4.65,1819,Sim,Sim,Alto
Machine Learning com Node.js,Pluralsight,IA/ML,Node.js,54,218.91,4.45,1562,Sim,Não,Médio
Pipelines CI/CD com Flask,DataCamp,DevOps,Flask,21,143.31,4.42,290,Sim,Sim,Alto
Análise de Dados com PyTorch,Coursera,Dados,PyTorch,25,222.55,4.66,2277,Sim,Sim,Alto
Contêineres com Python,DataCamp,DevOps,Python,31,216.31,4.43,1568,Sim,Sim,Médio
Administração em GCP,Coursera,Banco de Dados,GCP,30,236.46,4.68,2312,Sim,Sim,Alto
Infra como Código na GitLab CI,Origamid,Cloud,GitLab CI,19,255.34,4.17,995,Sim,Sim,Médio
Consultas em Flask,Pluralsight,Banco de Dados,Flask,20,198.09,4.48,1576,Sim,Sim,Alto
Cross-platform com Pentest,Udemy,Mobile,Pentest,19,132.11,4.46,1651,Sim,Sim,Alto
DDD com NumPy,Alura,Arquitetura de Software,NumPy,17,289.7,4.6,1794,Sim,Sim,Alto
Infra como Código na Airflow,DataCamp,Cloud,Airflow,28,220.59,4.62,1616,Sim,Sim,Alto
Infra como Código na React,Udemy,Cloud,React,22,148.59,4.61,2330,Sim,Sim,Alto
MLOps com SIEM,Udemy,IA/ML,SIEM,33,209.26,4.99,2396,Sim,Não,Alto
MLOps com AWS,Udemy,IA/ML,AWS,34,223.45,4.43,2417,Sim,Sim,Alto
Cross-platform com Kotlin,Alura,Mobile,Kotlin,19,168.48,4.74,1457,Sim,Sim,Alto
Arquitetura Limpa com Java,Coursera,Arquitetura de Software,Java,28,256.8,4.68,1621,Sim,Sim,Alto
OWASP com Jenkins,Udemy,Segurança,Jenkins,36,148.06,4.38,2146,Sim,Não,Médio
Consultas em Django,DataCamp,Banco de Dados,Django,19,188.57,4.59,1458,Sim,Não,Médio
MLOps com JavaScript,Udemy,IA/ML,JavaScript,40,203.33,4.51,2245,Sim,Sim,Alto
Streaming com FastAPI,Coursera,Engenharia de Dados,FastAPI,30,340.16,4.88,1998,Sim,Sim,Alto
Full-Stack com GCP,Coursera,Desenvolvimento Web,GCP,22,195.49,4.54,1577,Sim,Não,Médio
Mobile com Pentest,DataCamp,Mobile,Pentest,32,176.7,4.26,1334,Sim,Não,Médio
Pentest com React Native,DIO,Segurança,React Native,29,182.68,3.98,1228,Sim,Sim,Alto
Pentest com GCP,DIO,Segurança,GCP,28,122.63,4.19,925,Sim,Sim,Alto
MLOps com C#,Alura,IA/ML,C#,33,304.66,4.71,1678,Não,Sim,Médio
Full-Stack com Flask,Alura,Desenvolvimento Web,Flask,35,237.85,4.72,1774,Sim,Não,Alto
Observabilidade com SQL,Origamid,DevOps,SQL,24,153.22,4.49,853,Sim,Sim,Alto
Testes de Carga com Spring,DataCamp,QA/Testes,Spring,17,93.54,4.4,1117,Sim,Sim,Alto
TDD com Hadoop,Udemy,QA/Testes,Hadoop,26,159.95,4.21,1868,Sim,Sim,Alto
Machine Learning com React Native,Alura,IA/ML,React Native,29,301.88,4.4,2648,Sim,Sim,Alto
Análise de Dados com Flask,Alura,Dados,Flask,19,207.89,4.83,1880,Sim,Sim,Alto
OWASP com OWASP,Pluralsight,Segurança,OWASP,16,235.29,4.71,2102,Sim,Não,Médio
Streaming com Kotlin,Udemy,Engenharia de Dados,Kotlin,32,180.45,4.2,2199,Sim,Não,Médio
Data Lakes com Java,Alura,Engenharia de Dados,Java,24,277.89,4.65,1035,Sim,Sim,Alto
Segurança com Java,Udemy,Segurança,Java,20,164.37,4.49,1400,Sim,Não,Médio
TDD com Swift,DIO,QA/Testes,Swift,15,156.81,4.13,899,Sim,Sim,Alto
Infra como Código na AWS,Coursera,Cloud,AWS,23,282.72,4.56,2188,Sim,Não,Médio
Data Viz com NumPy,DataCamp,Dados,NumPy,19,159.91,4.67,1504,Sim,Sim,Alto
ETL com Azure,DIO,Dados,Azure,29,146.74,4.21,731,Sim,Não,Médio
Testes de Carga com Rust,Udemy,QA/Testes,Rust,26,125.11,4.53,1195,Não,Sim,Alto
IA Aplicada com GCP,DIO,IA/ML,GCP,42,120.56,4.36,931,Sim,Sim,Alto
Microservices com Node.js,Alura,Arquitetura de Software,Node.js,27,245.6,4.61,825,Sim,Sim,Alto
Blue Team com TypeScript,DIO,Segurança,TypeScript,19,104.81,4.19,388,Sim,Sim,Alto
Modelagem com AWS,Udemy,Banco de Dados,AWS,30,94.44,4.42,2035,Não,Não,Médio
Do Zero ao Pro em React,Udemy,Programação,React,34,140.2,4.63,1333,Sim,Não,Alto
TDD com PyTorch,Alura,QA/Testes,PyTorch,20,172.68,4.68,1836,Sim,Não,Alto
Pipelines de Dados com AWS,Udemy,Engenharia de Dados,AWS,32,203.07,4.43,2155,Sim,Sim,Alto
Orquestração com TypeScript,DIO,Engenharia de Dados,TypeScript,30,140.93,4.39,792,Sim,Não,Alto
Serverless na Python,Coursera,Cloud,Python,22,306.47,4.47,1621,Sim,Sim,Alto
Apps com GCP,Udemy,Mobile,GCP,13,185.28,4.29,1965,Não,Sim,Médio
ETL com Go,Pluralsight,Dados,Go,20,189.36,4.04,1576,Sim,Sim,Alto
Modelagem com NumPy,Pluralsight,Banco de Dados,NumPy,15,206.11,4.39,1004,Não,Não,Médio
Cross-platform com Flutter,Udemy,Mobile,Flutter,16,198.77,4.27,1224,Sim,Sim,Alto
Algoritmos com Go,DataCamp,Programação,Go,28,203.25,4.06,941,Sim,Não,Médio
Análise de Dados com Hadoop,Udemy,Dados,Hadoop,16,162.85,4.64,2352,Sim,Sim,Alto
Blue Team com Python,Origamid,Segurança,Python,27,204.41,4.49,2421,Sim,Sim,Alto
Blue Team com Airflow,DataCamp,Segurança,Airflow,34,202.21,4.23,1221,Sim,Sim,Alto
Back-end com IAM,Alura,Desenvolvimento Web,IAM,33,113.54,4.81,1449,Sim,Sim,Alto
Infra como Código na Hadoop,Coursera,Cloud,Hadoop,40,259.07,4.51,2602,Sim,Sim,Alto
Pipelines de Dados com OWASP,Alura,Engenharia de Dados,OWASP,30,266.99,4.68,1464,Sim,Sim,Alto
Arquiteturas na GitLab CI,Alura,Cloud,GitLab CI,33,242.64,4.56,2175,Sim,Sim,Alto
Testes Automatizados com Kubernetes,Coursera,QA/Testes,Kubernetes,11,201.97,4.56,1995,Sim,Não,Alto
Cross-platform com PyTorch,Coursera,Mobile,PyTorch,20,216.39,4.6,1630,Sim,Sim,Alto
DevOps com Linux,Alura,DevOps,Linux,26,260.39,4.59,1325,Sim,Sim,Alto
Dashboards com Linux,Udemy,Dados,Linux,14,143.94,4.4,2109,Sim,Sim,Alto
Apps com NumPy,Alura,Mobile,NumPy,31,181.94,4.38,1041,Não,Sim,Médio
DDD com Terraform,Alura,Arquitetura de Software,Terraform,27,206.85,4.81,1993,Não,Sim,Alto
Administração em Angular,Alura,Banco de Dados,Angular,13,242.92,4.83,1258,Sim,Sim,Alto
Infra como Código na Rust,DIO,Cloud,Rust,28,138.73,4.2,327,Sim,Sim,Médio
Fundamentos de Hadoop,Alura,Programação,Hadoop,23,208.96,4.65,1690,Sim,Não,Alto
Testes de Carga com Spring,Udemy,QA/Testes,Spring,18,101.69,4.38,2022,Sim,Sim,Alto
Machine Learning com Terraform,Udemy,IA/ML,Terraform,46,227.38,4.44,2082,Sim,Sim,Médio
Apps com GitLab CI,DataCamp,Mobile,GitLab CI,24,150.54,4.64,830,Sim,Sim,Alto
Apps com Linux,Alura,Mobile,Linux,27,177.93,4.31,948,Sim,Sim,Alto
Testes Automatizados com Power BI,Udemy,QA/Testes,Power BI,28,79.27,4.48,2429,Sim,Sim,Alto
Scalability com React Native,Udemy,Arquitetura de Software,React Native,27,173.5,4.56,1282,Não,Sim,Alto
Administração em Swift,Udemy,Banco de Dados,Swift,16,121.23,4.72,2585,Sim,Sim,Alto
DDD com Go,Alura,Arquitetura de Software,Go,29,260.21,4.87,782,Sim,Sim,Alto
IA Aplicada com Go,Pluralsight,IA/ML,Go,32,248.54,4.68,1640,Sim,Sim,Alto
Arquitetura Limpa com TensorFlow,Alura,Arquitetura de Software,TensorFlow,25,212.17,4.04,1158,Sim,Sim,Médio
Pentest com GitLab CI,Origamid,Segurança,GitLab CI,25,181.97,4.26,603,Sim,Sim,Alto
Data Viz com TypeScript,Pluralsight,Dados,TypeScript,19,212.35,4.39,647,Sim,Sim,Alto
Modelagem com React,Udemy,Banco de Dados,React,20,99.95,4.51,1740,Sim,Sim,Alto
Dominando Spring,DataCamp,Programação,Spring,27,97.0,4.61,1614,Sim,Sim,Alto
Contêineres com Docker,Udemy,DevOps,Docker,15,176.56,4.63,1552,Sim,Sim,Alto
Deep Learning com TypeScript,Coursera,IA/ML,TypeScript,41,326.61,4.52,1333,Sim,Não,Médio
Full-Stack com Hadoop,Alura,Desenvolvimento Web,Hadoop,19,169.76,4.41,1129,Sim,Sim,Alto
Arquitetura Limpa com Hadoop,Udemy,Arquitetura de Software,Hadoop,24,159.2,4.44,1370,Sim,Sim,Alto
DevOps com FastAPI,Udemy,DevOps,FastAPI,28,180.54,4.64,1879,Sim,Sim,Alto
Otimização em Power BI,Udemy,Banco de Dados,Power BI,11,140.65,4.47,1618,Sim,Sim,Alto
Front-end com Pandas,Coursera,Desenvolvimento Web,Pandas,17,170.26,4.21,1739,Sim,Sim,Alto
Contêineres com Docker,Coursera,DevOps,Docker,22,259.22,4.75,2339,Não,Não,Médio
Arquitetura Limpa com Java,Alura,Arquitetura de Software,Java,39,221.75,4.43,2031,Sim,Sim,Alto
Pipelines de Dados com JavaScript,DataCamp,Engenharia de Dados,JavaScript,34,229.12,4.7,1359,Sim,Sim,Alto
Arquiteturas na Power BI,Udemy,Cloud,Power BI,24,211.41,4.23,2160,Sim,Sim,Alto
Testes Automatizados com Terraform,Alura,QA/Testes,Terraform,28,197.4,4.42,1682,Não,Sim,Alto
TDD com Java,DIO,QA/Testes,Java,17,63.13,4.31,520,Sim,Sim,Alto
Pipelines CI/CD com C#,Coursera,DevOps,C#,20,244.11,4.56,1696,Sim,Sim,Alto
DDD com Java,Alura,Arquitetura de Software,Java,36,204.83,4.24,1300,Sim,Sim,Alto
Algoritmos com Java,DataCamp,Programação,Java,22,184.21,4.32,1450,Sim,Sim,Alto
Data Viz com Pentest,Udemy,Dados,Pentest,26,146.95,4.43,2347,Não,Não,Médio
Dashboards com Docker,Pluralsight,Dados,Docker,18,204.72,4.6,1538,Sim,Sim,Alto
Do Zero em FastAPI,DIO,Mobile,FastAPI,32,126.21,3.99,1117,Sim,Sim,Alto
Infra como Código na GitLab CI,Origamid,Cloud,GitLab CI,23,206.9,4.48,998,Sim,Sim,Alto
Microservices com Angular,Udemy,Arquitetura de Software,Angular,31,189.94,4.68,1422,Sim,Sim,Alto
Blue Team com Power BI,Origamid,Segurança,Power BI,23,205.57,4.44,1425,Sim,Sim,Alto
TDD com Kotlin,Coursera,QA/Testes,Kotlin,26,191.96,4.54,1464,Sim,Sim,Alto
Consultas em Go,Udemy,Banco de Dados,Go,21,163.03,4.57,2604,Sim,Sim,Alto
Data Viz com Hadoop,DataCamp,Dados,Hadoop,20,164.15,4.7,1557,Sim,Não,Médio
OWASP com Django,DataCamp,Segurança,Django,18,288.97,4.59,1393,Sim,Sim,Alto
Pipelines de Dados com Spring,Udemy,Engenharia de Dados,Spring,44,177.33,4.58,2189,Sim,Sim,Alto
Cross-platform com React,Coursera,Mobile,React,22,173.44,4.63,2326,Sim,Não,Alto
Infra como Código na React Native,Udemy,Cloud,React Native,34,208.32,4.53,2221,Sim,Sim,Alto
TDD com Spring,Udemy,QA/Testes,Spring,18,150.96,4.31,1308,Sim,Sim,Alto
Streaming com C#,Origamid,Engenharia de Dados,C#,19,241.77,4.34,1090,Sim,Sim,Alto
DDD com Pandas,Coursera,Arquitetura de Software,Pandas,35,240.75,4.57,1518,Sim,Sim,Alto
ETL com AWS,Pluralsight,Dados,AWS,24,194.81,4.3,806,Sim,Sim,Médio
OWASP com Go,Coursera,Segurança,Go,29,264.21,4.65,2701,Sim,Sim,Alto
Cross-platform com Power BI,Udemy,Mobile,Power BI,20,148.05,4.57,1549,Sim,Não,Alto
ETL com Docker,DataCamp,Dados,Docker,10,153.48,4.28,1116,Sim,Sim,Alto
Consultas em Vue,Udemy,Banco de Dados,Vue,14,156.16,4.21,1559,Sim,Sim,Alto
OWASP com React,Coursera,Segurança,React,12,267.85,4.86,1500,Sim,Sim,Alto
Microservices com Pentest,Alura,Arquitetura de Software,Pentest,14,255.75,4.32,773,Sim,Não,Médio
Blue Team com Docker,Udemy,Segurança,Docker,24,149.88,4.38,2254,Não,Sim,Alto
IA Aplicada com NumPy,Udemy,IA/ML,NumPy,37,153.21,4.43,1854,Sim,Sim,Alto
Scalability com Rust,DataCamp,Arquitetura de Software,Rust,26,221.67,4.7,463,Sim,Sim,Alto
Machine Learning com Scikit-learn,Coursera,IA/ML,Scikit-learn,27,261.61,4.49,2385,Sim,Sim,Alto
Blue Team com Node.js,Alura,Segurança,Node.js,28,208.97,4.51,1612,Sim,Sim,Alto
Modelagem com TensorFlow,DataCamp,Banco de Dados,TensorFlow,13,222.33,4.48,1207,Sim,Não,Médio
Do Zero ao Pro em SIEM,Udemy,Programação,SIEM,21,119.83,4.35,2223,Não,Não,Médio
QA Ágil com Pentest,Udemy,QA/Testes,Pentest,17,180.62,4.34,2344,Sim,Não,Médio
Fundamentos de Flask,DataCamp,Programação,Flask,15,162.06,4.31,1449,Sim,Sim,Alto
Dashboards com Azure,Coursera,Dados,Azure,32,208.31,4.8,1674,Sim,Sim,Alto
Algoritmos com SIEM,DataCamp,Programação,SIEM,21,127.31,4.36,1111,Não,Sim,Médio
Pentest com Node.js,Origamid,Segurança,Node.js,24,161.24,4.45,521,Sim,Sim,Alto
Full-Stack com Scikit-learn,Udemy,Desenvolvimento Web,Scikit-learn,34,107.56,4.3,2195,Sim,Sim,Alto
Microservices com Hadoop,Udemy,Arquitetura de Software,Hadoop,22,180.6,4.51,2300,Sim,Não,Alto
Testes de Carga com Terraform,DataCamp,QA/Testes,Terraform,17,153.77,4.47,1086,Sim,Sim,Alto
Segurança com Flask,Coursera,Segurança,Flask,14,257.22,4.9,2098,Não,Sim,Alto
Pipelines de Dados com NumPy,Origamid,Engenharia de Dados,NumPy,35,179.38,4.43,354,Sim,Sim,Alto
Pipelines de Dados com Java,Pluralsight,Engenharia de Dados,Java,20,268.24,4.2,403,Sim,Sim,Médio
Modelagem com Pandas,Udemy,Banco de Dados,Pandas,10,175.79,4.43,1967,Sim,Sim,Alto
MLOps com Terraform,Coursera,IA/ML,Terraform,41,278.01,4.64,1631,Sim,Não,Médio
Certificação na JavaScript,Udemy,Cloud,JavaScript,24,240.86,4.49,2269,Sim,Não,Médio
DDD com Node.js,Udemy,Arquitetura de Software,Node.js,32,139.88,4.27,2086,Sim,Sim,Alto
Testes de Carga com Java,DataCamp,QA/Testes,Java,12,157.15,4.68,1280,Não,Sim,Médio
Web Moderno com FastAPI,Alura,Desenvolvimento Web,FastAPI,22,196.06,4.3,1210,Sim,Sim,Alto
Modelagem com Hadoop,Udemy,Banco de Dados,Hadoop,29,73.47,4.65,2298,Sim,Sim,Alto
Arquiteturas na React Native,Coursera,Cloud,React Native,24,283.48,4.56,2827,Sim,Sim,Alto
Blue Team com AWS,DIO,Segurança,AWS,17,158.47,4.23,1186,Sim,Sim,Alto
Data Lakes com Azure,Udemy,Engenharia de Dados,Azure,28,178.75,4.25,2245,Sim,Sim,Alto
Streaming com SIEM,Coursera,Engenharia de Dados,SIEM,22,339.99,4.85,1668,Sim,Sim,Alto
Apps com Angular,Alura,Mobile,Angular,25,170.56,4.38,1763,Sim,Sim,Alto
Otimização em React,Pluralsight,Banco de Dados,React,14,231.66,4.82,1178,Sim,Sim,Alto
Do Zero em Spark,Udemy,Mobile,Spark,31,86.3,4.36,1415,Sim,Sim,Alto
Análise de Dados com Scikit-learn,Udemy,Dados,Scikit-learn,23,200.79,4.62,1749,Sim,Sim,Alto
Data Viz com Angular,Pluralsight,Dados,Angular,10,231.88,4.52,1187,Sim,Sim,Alto
TDD com Java,Udemy,QA/Testes,Java,10,177.68,4.53,1337,Sim,Não,Médio
Serverless na Linux,Alura,Cloud,Linux,29,306.9,4.44,1582,Sim,Sim,Alto
Segurança com Swift,Alura,Segurança,Swift,24,247.74,4.04,1311,Sim,Sim,Médio
Arquiteturas na Spring,Alura,Cloud,Spring,29,281.87,4.54,1778,Sim,Sim,Alto
QA Ágil com Flutter,Alura,QA/Testes,Flutter,8,204.55,4.51,1005,Sim,Não,Médio
Scalability com Swift,Coursera,Arquitetura de Software,Swift,27,235.64,4.41,1682,Sim,Sim,Alto
Data Viz com JavaScript,Udemy,Dados,JavaScript,19,145.31,4.49,1163,Sim,Sim,Alto
MLOps com PyTorch,DIO,IA/ML,PyTorch,43,149.82,4.51,1922,Não,Sim,Alto
Full-Stack com GitLab CI,Alura,Desenvolvimento Web,GitLab CI,16,219.93,4.68,1477,Sim,Não,Alto
Pipelines CI/CD com Flutter,Pluralsight,DevOps,Flutter,25,206.9,4.39,1994,Sim,Sim,Alto
Otimização em PyTorch,Udemy,Banco de Dados,PyTorch,24,163.2,4.55,2187,Sim,Sim,Alto
Algoritmos com Rust,Coursera,Programação,Rust,27,238.39,4.2,2196,Não,Sim,Médio
Fundamentos de Azure,Origamid,Programação,Azure,29,184.69,4.39,1241,Sim,Sim,Alto
Arquitetura Limpa com IAM,Alura,Arquitetura de Software,IAM,21,307.13,4.47,1284,Sim,Sim,Alto
Serverless na IAM,Udemy,Cloud,IAM,37,227.36,4.74,1865,Não,Não,Médio
Administração em Linux,Coursera,Banco de Dados,Linux,17,198.46,4.57,2584,Sim,Sim,Alto
Deep Learning com Java,Alura,IA/ML,Java,42,240.0,4.16,1467,Sim,Não,Médio
Microservices com FastAPI,Alura,Arquitetura de Software,FastAPI,40,231.2,4.37,1384,Sim,Não,Médio
DDD com NumPy,Coursera,Arquitetura de Software,NumPy,25,316.19,4.2,2418,Sim,Sim,Médio
Consultas em Spring,Pluralsight,Banco de Dados,Spring,21,175.31,4.14,841,Sim,Não,Médio
Blue Team com Linux,Alura,Segurança,Linux,27,199.88,4.47,1079,Sim,Sim,Alto
Certificação na Flutter,Alura,Cloud,Flutter,32,225.92,4.65,1641,Sim,Sim,Alto
Microservices com Linux,Origamid,Arquitetura de Software,Linux,37,196.8,4.14,811,Sim,Não,Médio
Scalability com OWASP,Udemy,Arquitetura de Software,OWASP,25,158.06,4.54,1418,Sim,Sim,Alto
Mobile com GCP,Coursera,Mobile,GCP,15,274.56,4.65,2315,Sim,Sim,Alto
DevOps com Flask,Pluralsight,DevOps,Flask,17,214.42,4.46,1132,Sim,Sim,Alto
Modelagem com React,Udemy,Banco de Dados,React,16,166.61,4.27,1823,Sim,Sim,Alto
Do Zero ao Pro em Pandas,Coursera,Programação,Pandas,23,205.05,4.84,1592,Sim,Não,Alto
Web Moderno com OWASP,Alura,Desenvolvimento Web,OWASP,22,209.73,4.44,1590,Não,Sim,Médio
Web Moderno com Go,Udemy,Desenvolvimento Web,Go,22,137.23,4.27,2186,Sim,Sim,Alto
Testes Automatizados com TypeScript,Pluralsight,QA/Testes,TypeScript,20,135.99,4.39,988,Sim,Sim,Alto
Full-Stack com IAM,Udemy,Desenvolvimento Web,IAM,27,151.49,4.33,2062,Sim,Sim,Alto
Pentest com Hadoop,Origamid,Segurança,Hadoop,27,237.85,4.33,798,Sim,Não,Médio
ETL com GitLab CI,Udemy,Dados,GitLab CI,18,158.36,4.59,1879,Sim,Não,Alto
Do Zero em GitLab CI,DataCamp,Mobile,GitLab CI,21,127.84,3.97,1314,Sim,Sim,Alto
Modelagem com Kubernetes,Udemy,Banco de Dados,Kubernetes,18,189.04,4.38,984,Sim,Sim,Alto
Apps com Pandas,Udemy,Mobile,Pandas,27,142.73,4.61,1591,Sim,Não,Alto
Do Zero ao Pro em OWASP,Udemy,Programação,OWASP,26,113.25,4.25,2139,Não,Não,Médio
